"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV3,RV1";"WH148-1A-2";2;"10 K";;;
2;"C7";"K103K10X7RF5UL2_VIS";1;"10 uF";;;
3;"C6,C4,C1";"WCAP-ATLI_5X11_DXL_";3;"22 uF";;;
4;"R5";"RESAD1590W60L630D240";1;"10 K";;;
5;"C9";"WCAP-ATUL_8X20_DXL_";1;"270 uF";;;
6;"C13";"CAP_K-SERIES_15-L2_VIS";1;"33 nF";;;
7;"D1";"DIOAD928W47L399D179";1;"NZX30C,133";;;
8;"HS1";"V7236B1";1;"Heatsink";;;
9;"C3";"CAPRB250W50L450T300H550";1;"2.2 uF";;;
10;"C12";"WCAP-ATG5_5X11_DXL_";1;"10 uF";;;
11;"C2";"XTAL_ZTA-6.00MG";1;"1 uF";;;
12;"R1";"RESAD1100W55L630D240B";1;"309";;;
13;"S1";"MFP126DRAUL";1;"MFP 126 D-RA";;;
14;"J1,J3";"CUI_TB006_-508-02BE";2;"TB006-508-02BE";;;
15;"U1";"TO255P1040X460X1968-3";1;"L7805CV";;;
16;"C8";"CAPRB500W50L400T250H550";1;"1 uF";;;
17;"U2";"DIP-8_W7.62mm_LongPads";1;"LM386N-1";;;
18;"RV2";"WH148-1A-2";1;"2 K";;;
19;"C10";"CAP_K-SERIES_15-L2_VIS";1;"68 nF";;;
20;"C11,C5";"K104K15X7RF5TL2_VIS";2;"0.1 uF";;;
21;"R4";"RESAD1590W60L630D240";1;"7.5";;;
22;"R3,R2";"RESAD1590W60L630D240";2;"1 K";;;
23;"J2";"PJ-322";1;"PJ-322";;;
24;"LED1";"TLPG5600";1;"TLPG5600";;;
